"ID","Condition","Age","Gender","Time","Beep_Time","Button_Estimate_","Written_Estimate_","Phase"
30,3,22,"female",5,2,1.7813848000078,2.7,"baseline"
30,3,22,"female",6,7,6.54779769999732,7.1,"baseline"
30,3,22,"female",7,3,2.97965979999572,4.2,"effect"
30,3,22,"female",8,6,0.166208299997379,6.3,"effect"
30,3,22,"female",9,5,4.56342390000646,5.3,"effect"
30,3,22,"female",10,2,1.62983210000675,2.6,"effect"
30,3,22,"female",11,9,8.24695749999955,8.8,"effect"
30,3,22,"female",12,4,3.89792449999368,5,"effect"
4,1,21,"male",1,5,5.84389220000594,6,"baseline"
4,1,21,"male",2,3,2.5463679000095,3,"baseline"
4,1,21,"male",3,9,8.6948618000024,9,"baseline"
4,1,21,"male",4,4,4.45983680000063,5,"baseline"
4,1,21,"male",5,2,1.79700400000729,2,"baseline"
4,1,21,"male",6,7,6.79529660000117,7,"baseline"
4,1,21,"male",7,3,2.71445429998857,4,"effect"
4,1,21,"male",8,6,6.09524399999646,7,"effect"
4,1,21,"male",9,5,4.66353649999655,5,"effect"
4,1,21,"male",10,2,1.73077960000955,2,"effect"
4,1,21,"male",11,9,8.36035200000333,8,"effect"
4,1,21,"male",12,4,3.34760209999513,4,"effect"
5,2,20,"female",1,5,0.199589899988496,10,"baseline"
5,2,20,"female",2,3,4.93086379999295,6,"baseline"
5,2,20,"female",3,9,11.6101242000004,12,"baseline"
5,2,20,"female",4,4,4.72870999999577,5,"baseline"
5,2,20,"female",5,2,2.79651139999623,3,"baseline"
5,2,20,"female",6,7,6.81341850000899,8,"baseline"
5,2,20,"female",7,3,4.46432209998602,4,"effect"
5,2,20,"female",8,6,7.51054459999432,8,"effect"
5,2,20,"female",9,5,4.91309030000411,5,"effect"
5,2,20,"female",10,2,2.36410700000124,2,"effect"
5,2,20,"female",11,9,7.76226880001195,9,"effect"
5,2,20,"female",12,4,5.23022890000721,5,"effect"
6,3,22,"female",1,5,5.66459169999871,8,"baseline"
6,3,22,"female",2,3,3.49836759999744,5,"baseline"
6,3,22,"female",3,9,8.54662049999752,12,"baseline"
6,3,22,"female",4,4,3.9145079000009,5,"baseline"
6,3,22,"female",5,2,1.46575659999507,3,"baseline"
6,3,22,"female",6,7,5.76425069999823,8,"baseline"
